grade coefa -coefb/(3*coefa)
-9.0 -2.190128e-05 61.133
-8.9 -2.193706e-05 61.1205
-8.8 -2.190146e-05 61.1549
-8.7 -2.195319e-05 61.1042
-8.6 -2.201277e-05 61.0902
-8.5 -2.194299e-05 61.1325
-8.4 -2.193948e-05 61.1501
-8.3 -2.211233e-05 61.034
-8.2 -2.210442e-05 61.0453
-8.1 -2.201757e-05 61.0952
-8.0 -2.208000e-05 61.0403
-7.9 -2.211435e-05 61.0356
-7.8 -2.210244e-05 61.0549
-7.7 -2.211863e-05 61.0227
-7.6 -2.216772e-05 61.0045
-7.5 -2.232387e-05 60.9328
-7.4 -2.222792e-05 60.9876
-7.3 -2.211181e-05 61.0556
-7.2 -2.227644e-05 60.9637
-7.1 -2.243866e-05 60.8797
-7.0 -2.241428e-05 60.8896
-6.9 -2.235013e-05 60.9396
-6.8 -2.236841e-05 60.9312
-6.7 -2.254909e-05 60.8357
-6.6 -2.246737e-05 60.8625
-6.5 -2.233384e-05 60.9337
-6.4 -2.235363e-05 60.9205
-6.3 -2.253254e-05 60.8332
-6.2 -2.251319e-05 60.8397
-6.1 -2.246980e-05 60.8653
-6.0 -2.254581e-05 60.8317
-5.9 -2.275068e-05 60.7495
-5.8 -2.266092e-05 60.7741
-5.7 -2.263012e-05 60.7919
-5.6 -2.270758e-05 60.7429
-5.5 -2.268707e-05 60.753
-5.4 -2.267719e-05 60.7752
-5.3 -2.276056e-05 60.7353
-5.2 -2.279328e-05 60.7081
-5.1 -2.270903e-05 60.7589
-5.0 -2.273853e-05 60.74
-4.9 -2.294589e-05 60.6454
-4.8 -2.285591e-05 60.6928
-4.7 -2.294614e-05 60.641
-4.6 -2.296016e-05 60.6444
-4.5 -2.297929e-05 60.6327
-4.4 -2.300660e-05 60.6085
-4.3 -2.294792e-05 60.6553
-4.2 -2.310913e-05 60.5564
-4.1 -2.301687e-05 60.6109
-4.0 -2.299763e-05 60.6239
-3.9 -2.315438e-05 60.5388
-3.8 -2.306525e-05 60.6069
-3.7 -2.326723e-05 60.4987
-3.6 -2.307538e-05 60.615
-3.5 -2.317163e-05 60.5535
-3.4 -2.320969e-05 60.5685
-3.3 -2.309901e-05 60.5847
-3.2 -2.312788e-05 60.5975
-3.1 -2.298861e-05 60.6731
-3.0 -2.325773e-05 60.5476
-2.9 -2.314136e-05 60.6266
-2.8 -2.331439e-05 60.5645
-2.7 -2.332399e-05 60.5687
-2.6 -1.203118e-05 73.4643
-2.5 2.721331e-05 34.3683
-2.4 7.497100e-05 41.4495
-2.3 1.134135e-04 42.1826
-2.2 1.283392e-04 41.324
-2.1 1.205863e-04 39.1853
-2.0 9.274257e-05 34.4355
-1.9 5.330020e-05 21.3244
-1.8 9.057356e-06 -120.989
-1.7 -2.915183e-05 101.706
-1.6 -5.231897e-05 76.9535
-1.5 -5.261238e-05 74.2764
-1.4 -2.830392e-05 90.2543
-1.3 4.853938e-06 -161.164
-1.2 3.451758e-05 22.3902
-1.1 4.182410e-05 26.7014
-1.0 4.632781e-05 28.3687
-0.9 5.054341e-05 29.5183
-0.8 5.194778e-05 29.5093
-0.7 5.541676e-05 30.4872
-0.6 5.703085e-05 30.7235
-0.5 5.805225e-05 30.7463
-0.4 5.872614e-05 30.6883
-0.3 5.956980e-05 30.7825
-0.2 6.138955e-05 31.2078
-0.1 6.282401e-05 31.4956
0.0 6.290548e-05 31.38
0.1 6.452216e-05 31.7642
0.2 6.705841e-05 32.3423
0.3 6.836615e-05 32.5159
0.4 7.074735e-05 32.9553
0.5 7.236650e-05 33.1679
0.6 6.653703e-05 31.6592
0.7 6.739798e-05 31.6923
0.8 6.436097e-05 30.8261
0.9 5.674987e-05 28.2745
1.0 5.097156e-05 26.0501
1.1 5.316917e-05 26.7767
1.2 4.884705e-05 25.0115
1.3 4.155054e-05 21.0287
1.4 3.352842e-05 15.1899
1.5 2.426822e-05 3.88114
1.6 2.241459e-05 1.32343
1.7 1.492398e-05 -20.0631
1.8 1.352500e-05 -27.2048
1.9 4.029132e-06 -193.196
2.0 -7.102144e-06 176.289
2.1 -2.463154e-05 81.1128
2.2 -5.296021e-05 59.8786
2.3 -5.689848e-05 58.6708
2.4 -5.000864e-05 61.3003
2.5 -5.555987e-05 59.2909
2.6 1.628598e-05 -27.4128
2.7 1.162423e-04 29.7088
2.8 3.132283e-04 35.3211
2.9 3.154688e-04 35.3007
3.0 3.381916e-04 35.4485
3.1 3.159017e-04 35.093
3.2 3.364857e-04 35.2343
3.3 3.357086e-04 35.2143
3.4 3.554161e-04 35.3506
3.5 3.609912e-04 35.43
3.6 3.372126e-04 35.3407
3.7 3.313434e-04 35.3356
3.8 3.070332e-04 35.2607
3.9 3.337115e-04 35.9326
4.0 2.384275e-04 36.1177
4.1 -2.101620e-04 32.7516
4.2 -2.633566e-04 33.1515
4.3 -9.118541e-04 34.3588
4.4 -2.356542e-03 34.7531
4.5 -3.908530e-03 34.5993
4.6 -4.056889e-03 34.5596
4.7 -4.987670e-03 34.433
4.8 6.046692e-04 26.3532
4.9 4.749773e-04 24.4492
5.0 2.746919e-04 18.1936
5.1 3.937500e-04 22.5106
5.2 2.508889e-04 16.5353
5.3 8.744444e-05 -13.8102
5.4 5.763611e-04 25.1728
5.5 3.483704e-04 20.5187
5.6 2.469167e-04 16.6412
5.7 2.045833e-04 14.4821
5.8 1.328333e-04 7.51013
5.9 1.578500e-03 29.6031
6.0 1.042667e-03 29.0219
6.1 -1.333333e-05 156.513
