src, des, distance, speed_min, speed_max, time_min, time_max, grade, grade_key, label
2486,2488,2.79981,38.9674,56,0.0499965,0.07185,-0.0338871,0,I-10L:I-10L
2488,2486,2.79981,41.5951,67.8,0.0412951,0.067311,0.0338871,0,I-10R:I-10R
2488,2489,1.08545,38.0488,52,0.020874,0.0285278,0.537282,5,I-10L
2489,2488,1.08545,30,70,0.0155064,0.0361816,-0.537282,-5,I-10R
2489,2490,0.506106,30,52,0.0097328,0.0168702,-1.14901,-10,I-10,US69,US96,US287L
2489,55164,0.883946,30,70,0.0126278,0.0294649,-0.621985,-5,US69,US96,US287R
2490,2489,0.506106,37.887,51.4,0.00984641,0.0133583,1.14901,10,I-10,US69,US96,US287R
2490,2491,0.912356,35.3425,43,0.0212176,0.0258147,0.164538,0,I-10,US69,US96,US287L
2491,2490,0.912356,41.5951,67.8,0.0134566,0.0219342,-0.164538,0,I-10,US69,US96,US287R
2491,2494,1.87876,31.7564,33.75,0.0556669,0.0591617,-0.00330652,0,I-10,US69,US96,US287L:I-10,US69,US96,US287L:I-10,US69,US96,US287L
2491,62483,7.43251,41.5951,67.8,0.109624,0.178687,0.0239894,0,US90R:US90R:US90R
2491,62487,2.01448,29.1538,30.5,0.0660484,0.0690981,-0.00900089,0,US90L:US90L
2494,2491,1.87876,41.5951,67.8,0.0277103,0.0451678,0.00330652,0,I-10,US69,US96,US287R:I-10,US69,US96,US287R:I-10,US69,US96,US287R
2494,2495,0.885072,35,42,0.0210731,0.0252878,-0.0151224,0,I-10L
2494,55175,9.91429,38.4677,54.475,0.181997,0.25773,0.0718154,0,US69,US96,US287L:US287L:US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L:US69,US96,US287L
2495,2494,0.885072,41.5951,67.8,0.0130542,0.0212783,0.0151224,0,I-10R
2495,2496,0.556026,34.2857,40,0.0139007,0.0162174,0.539895,5,I-10L
2496,2495,0.556026,30,70,0.00794323,0.0185342,-0.539895,-5,I-10R
2496,2497,0.692802,30,33,0.020994,0.0230934,-0.592375,-5,I-10L
2497,2496,0.692802,40.0443,60.2,0.0115083,0.0173009,0.592375,5,I-10R
2497,2502,4.61612,39.309,58.375,0.0790771,0.117432,0.00193603,0,I-10,US90L:I-10,US90L:I-10,US90L:US90L:US90L
2497,62487,1.61684,41.5951,67.8,0.0238471,0.0388708,0.0735753,0,US90R:US90R:US90R
2502,2497,4.61612,41.5951,67.8,0.0680844,0.110978,-0.00193603,0,US90R:US90R:I-10,US90R:I-10,US90R:I-10,US90R
2502,2503,0.475151,40.0443,60.2,0.00789287,0.0118656,0.673919,5,I-10,US90L
2503,2502,0.475151,30,70,0.00678787,0.0158384,-0.673919,-5,I-10,US90R
2503,2506,1.24601,36.4615,46.5,0.026796,0.0341734,-0.0678944,0,I-10,US90L:I-10,US90L:I-10,US90L
2506,2503,1.24601,41.5951,67.8,0.0183778,0.0299558,0.0678944,0,I-10,US90R:I-10,US90R:I-10,US90R
2506,2507,0.355241,37.887,51.4,0.00691131,0.00937635,1.24072,10,I-10,US90L
