src, des, distance, speed_min, speed_max, time_min, time_max, grade, grade_key, label
4908,4909,3.52412,40,60,0.0587353,0.088103,0.43287,0,I-29L
4908,49977,1.38534,40.0443,60.2,0.0230124,0.0345953,0.810974,5,US59L
4909,4908,3.52412,41.5951,67.8,0.0519782,0.0847244,-0.43287,0,I-29R
4909,4910,4.67565,30,60,0.0779275,0.155855,-0.876745,-5,I-29L
4910,4909,4.67565,40.0443,60.2,0.0776686,0.116762,0.876745,5,I-29R
4910,4911,7.74629,39.7753,59,0.131293,0.194751,0.0234229,0,I-29L
4911,4910,7.74629,41.5951,67.8,0.114252,0.186231,-0.0234229,0,I-29R
4911,4925,63.6968,40.7484,63.7484,0.999189,1.56317,0.0321446,0,I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L:I-29L
4911,49988,6.70866,41.5951,67.8,0.0989477,0.161285,0.0726119,0,US59R:US59R:US59R
4911,49991,0.51005,30,60,0.00850084,0.0170017,-0.532386,-5,US59L
4925,4911,63.6968,41.5951,67.8,0.93948,1.53135,-0.0321446,0,I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R:I-29R
4925,4926,3.09145,38.5714,54,0.057249,0.0801487,0.0313556,0,I-29,US34L
4925,42527,3.191,41.5951,67.8,0.0470649,0.0767159,-0.107727,0,US34R:US34R
4926,4925,3.09145,41.5951,67.8,0.0455966,0.0743224,-0.0313556,0,I-29,US34R
4926,4930,12.3243,37.535,50.25,0.245259,0.328341,0.0267497,0,I-29,US275L:I-29,US275L:I-29,US275L:I-29,US275L
4926,42529,0.805495,37.7778,51,0.015794,0.0213219,0.225254,0,US34,US275L
4930,4926,12.3243,41.5951,67.8,0.181774,0.296291,-0.0267497,0,I-29,US275R:I-29,US275R:I-29,US275R:I-29,US275R
4930,4931,0.691909,35.6757,44,0.0157252,0.0193944,0.171529,0,I-29L
4930,73265,4.38373,41.5951,67.8,0.0646568,0.105391,0.00411618,0,US275R:US275R:US275R
4931,4930,0.691909,41.5951,67.8,0.0102052,0.0166344,-0.171529,0,I-29R
4931,4934,3.03844,36.1223,45.75,0.066414,0.0841153,-0.00816654,0,I-29,I-80L:I-29,I-80L:I-29,I-80L
4931,12706,1.21642,35.6757,44,0.0276458,0.0340965,0.159888,0,I-80L
4934,4931,3.03844,41.5951,67.8,0.0448147,0.073048,0.00816654,0,I-29,I-80R:I-29,I-80R:I-29,I-80R
4934,4937,2.1002,34.243,40,0.052505,0.0613323,0.133435,0,I-29L:I-29L:I-29L
4934,12705,0.779646,30,70,0.0111378,0.0259882,-0.595364,-5,I-80R
4937,4934,2.1002,41.5951,67.8,0.0309764,0.0504915,-0.133435,0,I-29R:I-29R:I-29R
4937,4938,0.401179,30,38,0.0105574,0.0133726,-0.563796,-5,I-29L
4937,20148,0.314296,41.5951,67.8,0.00463563,0.00755608,0.336097,0,I-480,US6R
4937,29535,0.315782,30,38,0.00831004,0.0105261,-0.531294,-5,US6L
4938,4937,0.401179,40.0443,60.2,0.00666411,0.0100184,0.563796,5,I-29R
4938,4939,0.388872,33.1343,37,0.01051,0.0117362,-0.0191746,0,I-29L
4939,4938,0.388872,41.5951,67.8,0.00573557,0.00934898,0.0191746,0,I-29R
4939,4940,1.08584,33.5294,38,0.0285746,0.0323846,0.473831,5,I-29L
4940,4939,1.08584,30,70,0.0155119,0.0361945,-0.473831,-5,I-29R
