id,lat,lon,ele,label
612,18.4287,-66.0757,0,I-PR1@PR22
613,18.4227,-66.0716,3.9775,I-PR1@3A(18)
614,18.4197,-66.0704,9.0343,I-PR1@3B(18)
616,18.4071,-66.0696,9.9977,I-PR1@5(18)
619,18.3772,-66.071,35.476,I-PR1@8(18)
620,18.3705,-66.0697,44.458,I-PR1@1
621,18.3585,-66.0698,54.918,I-PR1@2
622,18.3434,-66.0684,83.089,I-PR1@4
623,18.3203,-66.0371,111.76,I-PR1@+X01
624,18.2723,-66.0385,79.618,I-PR1@14
625,18.2641,-66.0383,69.336,I-PR1@15
627,18.2339,-66.0428,66.693,I-PR1@19
629,18.2161,-66.048,85.487,I-PR1@21
630,18.2013,-66.0504,87.58,I-PR1@23
631,18.1707,-66.0622,209.79,I-PR1@+X02
632,18.1502,-66.1022,400.75,I-PR1@32
633,18.1127,-66.1453,407.42,I-PR1@39
634,18.0708,-66.2179,499.87,I-PR1@+X03
635,18.0426,-66.2166,255.07,I-PR1@+X04
636,18.0359,-66.2391,77.653,I-PR1@58
638,17.9864,-66.2893,15.591,I-PR1@65
639,18.0113,-66.384,48.984,I-PR1@76
640,18.0138,-66.3908,40.124,I-PR1@77
641,18.0281,-66.4207,59.001,I-PR1@80
644,18.0261,-66.5683,49.081,I-PR1@98
645,18.0055,-66.5815,10.001,I-PR1@100
648,18.451,-66.0684,6.2383,I-PR2@PR26&I-PR3@2
649,18.4455,-66.0699,9.9992,I-PR2@0A
650,18.44,-66.0707,0,I-PR2@1
654,18.4174,-66.1004,3.0747,I-PR2@6
655,18.4207,-66.1098,7.9971,I-PR2@7
658,18.4207,-66.1639,3,I-PR2@12
661,18.4122,-66.2194,45.859,I-PR2@+X01
662,18.4182,-66.2512,6.9789,I-PR2@22
663,18.4195,-66.2673,10.201,I-PR2@24
665,18.4222,-66.3177,58.706,I-PR2@+X02
666,18.4305,-66.3451,11.116,I-PR2@31
667,18.4276,-66.3719,46.393,I-PR2@35
668,18.4367,-66.3904,64.387,I-PR2@37
669,18.4388,-66.4236,44.267,I-PR2@42
670,18.4466,-66.4486,15.819,I-PR2@+X03
671,18.4415,-66.4651,50.351,I-PR2@46
672,18.4413,-66.4775,93.569,I-PR2@48
673,18.4413,-66.5424,7.1755,I-PR2@55
674,18.4424,-66.5596,59.243,I-PR2@57
675,18.4342,-66.5952,89.04,I-PR2@+X04
676,18.4447,-66.6187,39.248,I-PR2@63
677,18.441,-66.6288,43.676,I-PR2@63A
678,18.4373,-66.6849,9.9982,I-PR2@71
679,18.4519,-66.718,3.2873,I-PR2@75
680,18.4527,-66.746,49.01,I-PR2@77
681,18.4604,-66.7731,76.382,I-PR2@+X05
682,18.485,-66.778,17.397,I-PR2@83
684,18.4834,-66.8228,8.996,I-PR2@PR130
685,18.4801,-66.8333,3.1159,I-PR2@PR4491
686,18.4589,-66.9021,126.76,I-PR2@PR482
687,18.4585,-66.9183,136.54,I-PR2@PR484_E
688,18.4829,-66.9408,100.78,I-PR2@PR4484
689,18.4889,-66.9495,53.792,I-PR2@PR113_E
690,18.4822,-66.9614,28.208,I-PR2@PR113_W
