network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
0,61.217,-149.869,37.202,I-A1@5thAve_W&I-A3@5thAve
1,61.2212,-149.808,45.864,I-A1@BraSt
2,61.2247,-149.778,57.049,I-A1@BonPkwy
3,61.2245,-149.756,66.513,I-A1@TurSt
4,61.2271,-149.734,77.215,I-A1@MulRd
5,61.24,-149.69,97.808,I-A1@ArcValRd
6,61.2533,-149.66,111.48,I-A1@DSt
7,61.2673,-149.636,123.45,I-A1@+X99
8,61.2776,-149.632,132.5,I-A1@+X100
9,61.2881,-149.595,154.69,I-A1@+X101
10,61.2956,-149.59,145.16,I-A1@EagRivRd
11,61.3193,-149.576,95.154,I-A1@ArtRd
12,61.3318,-149.584,75.852,I-A1@+X01
13,61.3421,-149.566,80.99,I-A1@EagAccRd
14,61.3666,-149.535,95.374,I-A1@BirLpRd_S
15,61.3864,-149.511,62.111,I-A1@+X1A
16,61.402,-149.468,97.061,I-A1@BirLpRd_N
17,61.4096,-149.442,114.88,I-A1@VoyBlvd
18,61.4211,-149.425,108.62,I-A1@LakeHillDr
19,61.4352,-149.402,89.009,I-A1@ParLn
20,61.4484,-149.379,41.737,I-A1@EklLakeRd
21,61.4572,-149.362,20.205,I-A1@EklVilRd
22,61.4739,-149.263,9.3678,I-A1@OldGleHwy
23,61.4893,-149.245,15.202,I-A1@KnikRivAcc
24,61.5091,-149.255,10.034,I-A1@+X1B
25,61.5433,-149.252,10.187,I-A1@AK3_S
26,61.5533,-149.248,11.372,I-A1@AK3_N&I-A4@AK1
27,61.5524,-149.179,35.855,I-A1@ColSt
28,61.591,-149.123,69.803,I-A1@ColWay
29,61.5994,-149.122,76.417,I-A1@PalWasHwy
30,61.6283,-149.12,167.48,I-A1@PalFisRd
31,61.6463,-149.117,170.95,I-A1@FarmLpRd
32,61.6695,-149.076,199.4,I-A1@BufMineRd
33,61.6762,-149.05,179.79,I-A1@+X476201
34,61.6829,-149.042,135.22,I-A1@+X146828
35,61.6777,-149.024,141.53,I-A1@+X04
36,61.6788,-148.993,185.02,I-A1@+X05
37,61.7059,-148.947,198.93,I-A1@MokiRd
38,61.7102,-148.895,141.34,I-A1@JonMineRd
39,61.7112,-148.849,153.7,I-A1@+X06
40,61.7283,-148.815,156.28,I-A1@GraCrkRd
41,61.7352,-148.758,176.86,I-A1@KinRivDr
42,61.7261,-148.747,182.83,I-A1@+X07
43,61.761,-148.578,252.31,I-A1@FishLakeRd
44,61.7638,-148.538,228.84,I-A1@+X7A
45,61.7759,-148.495,244.44,I-A1@KingMtnSRS
46,61.7848,-148.454,258.53,I-A1@ChiBraRd
47,61.7917,-148.426,371.93,I-A1@+X08
48,61.7982,-148.255,496.92,I-A1@+X9A
49,61.8049,-148.236,462.57,I-A1@+X9B
50,61.8125,-148.153,609.13,I-A1@+X10
51,61.8073,-148.108,690.87,I-A1@ObeCir
52,61.8024,-148.065,656.47,I-A1@*OldGleHwy_W
53,61.7948,-148.047,600.04,I-A1@+X387316
54,61.792,-148.019,538.36,I-A1@CasRd
55,61.7989,-147.984,487.48,I-A1@+X269632
56,61.7912,-147.934,429.62,I-A1@TraRd
57,61.7927,-147.916,458.69,I-A1@*OldGleHwy_E
58,61.7942,-147.882,531.35,I-A1@PinCreRd
59,61.8036,-147.85,512.83,I-A1@PinLn
60,61.801,-147.815,517.23,I-A1@MatGlaSRS
61,61.793,-147.673,657.13,I-A1@CarRecArea
62,61.8028,-147.685,548.3,I-A1@+X885158
63,61.8009,-147.561,765.03,I-A1@+X14
64,61.8085,-147.512,821.21,I-A1@SheMtnAir
65,61.8235,-147.424,930.88,I-A1@+X15
66,61.85,-147.38,979.32,I-A1@SquCrkTr
67,61.8676,-147.346,973.29,I-A1@+X983372
68,61.8905,-147.333,910.41,I-A1@+X312493
69,61.9042,-147.302,897.93,I-A1@EagRivTr
70,61.921,-147.252,952.97,I-A1@+X319043
71,61.9422,-147.154,1008.6,I-A1@+X718080
72,61.9551,-147.13,1004,I-A1@OldManTr
73,61.988,-147.068,931.51,I-A1@+X998323
74,61.9849,-146.958,0,I-A1@+X332638
75,61.9893,-146.938,0,I-A1@LitNelRd
76,61.9813,-146.859,0,I-A1@NelSRS
77,61.9815,-146.825,0,I-A1@+X831682
